Model,Family,Evaluation,Eval World Cup,Train Start,Train End,Eval Start,Eval End,Training Rows,World Cup Training Rows,International Training Rows,Evaluation Matches,Direct Feature Count,Original18 Used Count,Log Loss,Accuracy,Draw Recall
MLR-original-baseline-5,MLR,CV,1938,1930-07-13,1934-06-10,1938-06-04,1938-06-19,35,35,0,18,5,6,1.0765,0.3333,0.0
MLR-original-baseline-5,MLR,CV,1950,1930-07-13,1938-06-19,1950-06-24,1950-07-16,53,53,0,22,5,6,1.096,0.2727,0.6667
MLR-original-baseline-5,MLR,CV,1954,1930-07-13,1950-07-16,1954-06-16,1954-07-04,75,75,0,26,5,6,1.0335,0.5,0.5
MLR-original-baseline-5,MLR,CV,1958,1930-07-13,1954-07-04,1958-06-08,1958-06-29,101,101,0,35,5,6,1.064,0.4571,0.3
MLR-original-baseline-5,MLR,CV,1962,1930-07-13,1958-06-29,1962-05-30,1962-06-17,136,136,0,32,5,6,1.0659,0.4062,0.6
MLR-original-baseline-5,MLR,CV,1966,1930-07-13,1962-06-17,1966-07-11,1966-07-30,168,168,0,32,5,6,1.0281,0.5,0.4
MLR-original-baseline-5,MLR,CV,1970,1930-07-13,1966-07-30,1970-05-31,1970-06-21,200,200,0,32,5,6,1.0684,0.5,0.6
MLR-original-baseline-5,MLR,CV,1974,1930-07-13,1970-06-21,1974-06-13,1974-07-07,232,232,0,38,5,6,1.0337,0.3947,0.5
MLR-original-baseline-5,MLR,CV,1978,1930-07-13,1974-07-07,1978-06-01,1978-06-25,270,270,0,38,5,6,1.1195,0.2895,0.1111
MLR-original-baseline-5,MLR,CV,1982,1930-07-13,1978-06-25,1982-06-13,1982-07-11,308,308,0,52,5,6,1.1338,0.2308,0.25
MLR-original-baseline-5,MLR,CV,1986,1930-07-13,1982-07-11,1986-05-31,1986-06-29,360,360,0,52,5,6,0.901,0.5192,0.1818
MLR-original-baseline-5,MLR,CV,1990,1930-07-13,1990-06-07,1990-06-08,1990-07-08,547,412,135,52,5,6,0.9821,0.3846,0.125
MLR-original-baseline-5,MLR,CV,1994,1930-07-13,1994-06-12,1994-06-17,1994-07-17,1477,464,1013,52,5,6,0.923,0.5577,0.0
MLR-original-baseline-5,MLR,CV,1998,1930-07-13,1998-06-07,1998-06-10,1998-07-12,2509,516,1993,64,5,6,0.9006,0.5312,0.25
