team,champion_probability
Spain,0.1908
Argentina,0.1496
France,0.096
England,0.0658
Netherlands,0.0544
Germany,0.0492
Morocco,0.0404
Japan,0.0354
Turkiye,0.0346
Brazil,0.0326
Portugal,0.0316
Mexico,0.0224
Colombia,0.02
Croatia,0.0184
Belgium,0.015
Ecuador,0.0144
Senegal,0.0126
Norway,0.0126
Switzerland,0.0112
Iran,0.0108
Canada,0.0094
South Korea,0.009
Uruguay,0.0086
Australia,0.0082
Algeria,0.0074
Paraguay,0.007
Austria,0.0056
Uzbekistan,0.0046
United States,0.0036
Egypt,0.0036
Cote d'Ivoire,0.0032
Panama,0.0032
Scotland,0.0018
Congo DR,0.0016
Sweden,0.001
Tunisia,0.0008
Iraq,0.0006
Czech Republic,0.0006
New Zealand,0.0006
Haiti,0.0006
Jordan,0.0004
Qatar,0.0002
Saudi Arabia,0.0002
South Africa,0.0002
Bosnia-Herzegovina,0.0002
Curacao,0.0
Cabo Verde,0.0
Ghana,0.0
