team,champion_probability
Spain,0.1476
Argentina,0.09
England,0.0696
France,0.0668
Morocco,0.0552
Germany,0.0472
Brazil,0.044
Netherlands,0.041
Portugal,0.038
Japan,0.0378
Ecuador,0.037
Colombia,0.033
Turkiye,0.0268
Mexico,0.0228
Croatia,0.0208
Switzerland,0.0186
Norway,0.0182
Senegal,0.0156
Uruguay,0.0144
South Korea,0.0134
Paraguay,0.0124
Iran,0.0116
Canada,0.011
Australia,0.011
United States,0.0106
Algeria,0.0098
Belgium,0.0096
Egypt,0.0068
Cote d'Ivoire,0.0062
Uzbekistan,0.0056
Jordan,0.0054
Panama,0.0052
Austria,0.0048
Sweden,0.0048
Scotland,0.004
Tunisia,0.0038
New Zealand,0.0038
Iraq,0.0032
Saudi Arabia,0.0024
Congo DR,0.0022
Qatar,0.0014
Haiti,0.0014
Bosnia-Herzegovina,0.0014
Czech Republic,0.0012
Ghana,0.0008
South Africa,0.0008
Cabo Verde,0.0006
Curacao,0.0004
