team,champion_probability
Spain,0.251
Argentina,0.1974
France,0.13
England,0.0688
Morocco,0.0476
Netherlands,0.0426
Germany,0.0414
Japan,0.0368
Portugal,0.0298
Turkiye,0.0264
Ecuador,0.0168
Mexico,0.0142
Brazil,0.014
Croatia,0.0138
Colombia,0.0102
Belgium,0.008
Norway,0.0074
Senegal,0.0062
Switzerland,0.0048
Iran,0.0046
Australia,0.0046
South Korea,0.004
Algeria,0.004
Canada,0.0028
Uruguay,0.0024
Austria,0.002
Paraguay,0.0018
Uzbekistan,0.0016
United States,0.0014
Panama,0.0012
Egypt,0.0006
Cote d'Ivoire,0.0006
Scotland,0.0004
Iraq,0.0004
Cabo Verde,0.0002
Congo DR,0.0002
Qatar,0.0
Haiti,0.0
Curacao,0.0
Czech Republic,0.0
South Africa,0.0
New Zealand,0.0
Sweden,0.0
Bosnia-Herzegovina,0.0
Tunisia,0.0
Ghana,0.0
Jordan,0.0
Saudi Arabia,0.0
