group,team,p_top2,p_best_third,p_advance
A,Mexico,0.7114,0.1368,0.8482
A,South Korea,0.6088,0.1682,0.777
A,Czech Republic,0.3906,0.199,0.5896
A,South Africa,0.2892,0.1762,0.4654
B,Switzerland,0.6884,0.141,0.8294
B,Canada,0.6586,0.1588,0.8174
B,Bosnia-Herzegovina,0.364,0.1954,0.5594
B,Qatar,0.289,0.1796,0.4686
C,Morocco,0.7286,0.1354,0.864
C,Brazil,0.705,0.1368,0.8418
C,Scotland,0.366,0.2122,0.5782
C,Haiti,0.2004,0.1716,0.372
D,Turkiye,0.6318,0.153,0.7848
D,Australia,0.4684,0.1784,0.6468
D,United States,0.4608,0.1834,0.6442
D,Paraguay,0.439,0.195,0.634
E,Germany,0.7598,0.141,0.9008
E,Ecuador,0.6638,0.1894,0.8532
E,Cote d'Ivoire,0.454,0.2352,0.6892
E,Curacao,0.1224,0.1186,0.241
F,Netherlands,0.7688,0.1192,0.888
F,Japan,0.6876,0.153,0.8406
F,Tunisia,0.2766,0.2086,0.4852
F,Sweden,0.267,0.177,0.444
G,Belgium,0.633,0.1596,0.7926
G,Iran,0.5606,0.1718,0.7324
G,Egypt,0.5024,0.1864,0.6888
G,New Zealand,0.304,0.1788,0.4828
H,Spain,0.9292,0.0454,0.9746
H,Uruguay,0.6064,0.1542,0.7606
H,Saudi Arabia,0.2448,0.176,0.4208
H,Cabo Verde,0.2196,0.1632,0.3828
I,France,0.7462,0.13,0.8762
I,Senegal,0.505,0.1864,0.6914
I,Norway,0.4666,0.1906,0.6572
I,Iraq,0.2822,0.1706,0.4528
J,Argentina,0.8376,0.0896,0.9272
J,Algeria,0.4414,0.1914,0.6328
J,Austria,0.4316,0.1928,0.6244
J,Jordan,0.2894,0.1736,0.463
K,Portugal,0.6692,0.144,0.8132
K,Colombia,0.6038,0.1656,0.7694
K,Uzbekistan,0.4172,0.1946,0.6118
K,Congo DR,0.3098,0.1952,0.505
L,England,0.7742,0.1352,0.9094
L,Croatia,0.6622,0.1738,0.836
L,Panama,0.423,0.2428,0.6658
L,Ghana,0.1406,0.1256,0.2662
