group,team,p_top2,p_best_third,p_advance
A,Mexico,0.5966,0.1518,0.7484
A,South Korea,0.5798,0.16,0.7398
A,South Africa,0.4372,0.185,0.6222
A,Czech Republic,0.3864,0.1706,0.557
B,Canada,0.575,0.1518,0.7268
B,Switzerland,0.5746,0.15,0.7246
B,Bosnia-Herzegovina,0.436,0.1796,0.6156
B,Qatar,0.4144,0.181,0.5954
C,Brazil,0.637,0.1524,0.7894
C,Morocco,0.5492,0.1674,0.7166
C,Scotland,0.4558,0.1732,0.629
C,Haiti,0.358,0.174,0.532
D,United States,0.5512,0.1642,0.7154
D,Paraguay,0.5238,0.1704,0.6942
D,Turkiye,0.489,0.1602,0.6492
D,Australia,0.436,0.1678,0.6038
E,Ecuador,0.6276,0.17,0.7976
E,Germany,0.616,0.1582,0.7742
E,Cote d'Ivoire,0.4902,0.1894,0.6796
E,Curacao,0.2662,0.1548,0.421
F,Netherlands,0.6054,0.1554,0.7608
F,Japan,0.5132,0.1644,0.6776
F,Tunisia,0.4464,0.1788,0.6252
F,Sweden,0.435,0.1706,0.6056
G,Egypt,0.5202,0.1672,0.6874
G,New Zealand,0.4956,0.1892,0.6848
G,Belgium,0.52,0.1614,0.6814
G,Iran,0.4642,0.1548,0.619
H,Spain,0.78,0.12,0.9
H,Uruguay,0.586,0.168,0.754
H,Saudi Arabia,0.356,0.1946,0.5506
H,Cabo Verde,0.278,0.1672,0.4452
I,Senegal,0.5254,0.1762,0.7016
I,France,0.5568,0.1444,0.7012
I,Norway,0.4998,0.1644,0.6642
I,Iraq,0.418,0.181,0.599
J,Argentina,0.6164,0.1432,0.7596
J,Austria,0.47,0.1762,0.6462
J,Algeria,0.4694,0.168,0.6374
J,Jordan,0.4442,0.1736,0.6178
K,Colombia,0.5942,0.1606,0.7548
K,Portugal,0.5294,0.1618,0.6912
K,Uzbekistan,0.454,0.1792,0.6332
K,Congo DR,0.4224,0.177,0.5994
L,England,0.618,0.1538,0.7718
L,Croatia,0.5442,0.156,0.7002
L,Panama,0.458,0.175,0.633
L,Ghana,0.3798,0.1862,0.566
