group,team,p_top2,p_best_third,p_advance
A,Mexico,0.7854,0.1172,0.9026
A,South Korea,0.6432,0.1776,0.8208
A,Czech Republic,0.3784,0.228,0.6064
A,South Africa,0.193,0.1704,0.3634
B,Switzerland,0.758,0.122,0.88
B,Canada,0.6912,0.1578,0.849
B,Bosnia-Herzegovina,0.3234,0.2172,0.5406
B,Qatar,0.2274,0.1692,0.3966
C,Morocco,0.8244,0.107,0.9314
C,Brazil,0.7236,0.151,0.8746
C,Scotland,0.315,0.2606,0.5756
C,Haiti,0.137,0.1452,0.2822
D,Turkiye,0.7136,0.1414,0.855
D,Australia,0.5158,0.192,0.7078
D,Paraguay,0.3924,0.198,0.5904
D,United States,0.3782,0.1966,0.5748
E,Germany,0.833,0.1132,0.9462
E,Ecuador,0.7212,0.1742,0.8954
E,Cote d'Ivoire,0.3754,0.2938,0.6692
E,Curacao,0.0704,0.0948,0.1652
F,Netherlands,0.816,0.105,0.921
F,Japan,0.781,0.1252,0.9062
F,Sweden,0.2088,0.2158,0.4246
F,Tunisia,0.1942,0.1926,0.3868
G,Belgium,0.6678,0.1684,0.8362
G,Iran,0.6446,0.166,0.8106
G,Egypt,0.474,0.2234,0.6974
G,New Zealand,0.2136,0.1644,0.378
H,Spain,0.9716,0.0212,0.9928
H,Uruguay,0.656,0.1514,0.8074
H,Saudi Arabia,0.2104,0.175,0.3854
H,Cabo Verde,0.162,0.1598,0.3218
I,France,0.8438,0.091,0.9348
I,Norway,0.4856,0.204,0.6896
I,Senegal,0.466,0.2128,0.6788
I,Iraq,0.2046,0.1598,0.3644
J,Argentina,0.9122,0.0582,0.9704
J,Algeria,0.481,0.1942,0.6752
J,Austria,0.3958,0.217,0.6128
J,Jordan,0.211,0.1574,0.3684
K,Portugal,0.7444,0.1302,0.8746
K,Colombia,0.603,0.1764,0.7794
K,Uzbekistan,0.3986,0.2148,0.6134
K,Congo DR,0.254,0.1872,0.4412
L,England,0.8504,0.1106,0.961
L,Croatia,0.705,0.1958,0.9008
L,Panama,0.3942,0.3154,0.7096
L,Ghana,0.0504,0.0798,0.1302
