stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,A,Mexico,South Africa,0.5909955790748748,0.23778133600731569,0.17122308491780963,1.7722373171857404,0.7617397114092619,Mexico
group,A,Mexico,South Korea,0.3596255860575741,0.3105199261806373,0.3298544877617886,1.122723541618554,1.015263993076299,Mexico
group,A,Mexico,Czech Republic,0.503553947130869,0.2735495122929312,0.2228965405761998,1.500920390163171,0.8716371592086885,Mexico
group,A,South Africa,South Korea,0.22032870731445597,0.2693218022355224,0.5103494904500218,0.8876536148968238,1.5751282668332964,South Korea
group,A,South Africa,Czech Republic,0.33634624407559205,0.2853874446111288,0.37826631131327915,1.1667434256349314,1.3358973323803152,Czech Republic
group,A,South Korea,Czech Republic,0.42372888825044824,0.2854590861321152,0.2908120256174367,1.3382142674070188,1.0243920005010712,South Korea
group,B,Canada,Bosnia-Herzegovina,0.44925856616592175,0.2904057445159083,0.26033568931816997,1.3722760683746154,0.9241585368886948,Canada
group,B,Canada,Qatar,0.5165864800424622,0.2771930142302626,0.20622050572727524,1.5191272093611128,0.8144654267309211,Canada
group,B,Canada,Switzerland,0.36912388040617794,0.3088958507549037,0.32198026883891845,1.1123040411357037,1.0598317630890808,Canada
group,B,Bosnia-Herzegovina,Qatar,0.3677402699162097,0.2897945661243571,0.34246516395943327,1.2889821563381598,1.1938362741686737,Bosnia-Herzegovina
group,B,Bosnia-Herzegovina,Switzerland,0.22647129757415843,0.2689297930351865,0.5045989093906551,0.9479783351326985,1.6071308315140633,Switzerland
group,B,Qatar,Switzerland,0.1863184778961695,0.24730979263327874,0.5663717294705518,0.8504960068168858,1.7589138949802885,Switzerland
group,C,Brazil,Morocco,0.36566634925855035,0.2920955730206478,0.34223807772080195,1.1873191703781005,1.2133803289544691,Brazil
group,C,Brazil,Haiti,0.589015700535079,0.24333732211101322,0.16764697735390777,1.8646074372907837,0.8178848098314438,Brazil
group,C,Brazil,Scotland,0.47988475708915523,0.277067505037436,0.24304773787340872,1.6022008553435836,1.0313574575141327,Brazil
group,C,Morocco,Haiti,0.6273109847987978,0.22584280621419467,0.1468462089870076,1.8950277327660763,0.6841631504536935,Morocco
group,C,Morocco,Scotland,0.5223935165728786,0.2645258375009395,0.21308064592618198,1.613184477959718,0.8665280803083222,Morocco
group,C,Haiti,Scotland,0.2924920475509839,0.2938464044797073,0.4136615479693089,1.0403542617182744,1.3485468966540615,Scotland
group,D,United States,Paraguay,0.3938083088832481,0.2882460024043103,0.3179456887124416,1.343147166178966,1.228047736924801,United States
