team,p_R32,p_R16,p_QF,p_SF,p_F,p_Champion
Spain,0.9746,0.7802,0.5756,0.4068,0.2842,0.1908
Argentina,0.9272,0.7098,0.4938,0.337,0.2328,0.1496
France,0.8762,0.6326,0.4228,0.2704,0.1654,0.096
England,0.9094,0.6116,0.3918,0.2206,0.1282,0.0658
Netherlands,0.888,0.5752,0.3378,0.195,0.1098,0.0544
Germany,0.9008,0.5768,0.3216,0.1802,0.091,0.0492
Morocco,0.864,0.5364,0.314,0.1714,0.0876,0.0404
Japan,0.8406,0.5038,0.2906,0.155,0.079,0.0354
Turkiye,0.7848,0.4862,0.2824,0.154,0.0772,0.0346
Brazil,0.8418,0.509,0.2756,0.1428,0.0652,0.0326
Portugal,0.8132,0.4806,0.2696,0.1378,0.0698,0.0316
Mexico,0.8482,0.4814,0.2472,0.1218,0.0542,0.0224
Colombia,0.7694,0.4328,0.2172,0.1042,0.044,0.02
Croatia,0.836,0.4594,0.2316,0.1104,0.0476,0.0184
Belgium,0.7926,0.4192,0.1992,0.0946,0.0402,0.015
Ecuador,0.8532,0.4536,0.223,0.0964,0.041,0.0144
Senegal,0.6914,0.3488,0.1692,0.073,0.0318,0.0126
Norway,0.6572,0.349,0.1754,0.0896,0.0364,0.0126
Switzerland,0.8294,0.4232,0.203,0.091,0.0354,0.0112
Iran,0.7324,0.3684,0.175,0.0716,0.0292,0.0108
Canada,0.8174,0.404,0.1686,0.07,0.0226,0.0094
South Korea,0.777,0.3636,0.1512,0.0598,0.0226,0.009
Uruguay,0.7606,0.358,0.154,0.0678,0.0246,0.0086
Australia,0.6468,0.3124,0.1366,0.057,0.0194,0.0082
Algeria,0.6328,0.308,0.1378,0.0556,0.0204,0.0074
Paraguay,0.634,0.2932,0.1342,0.0548,0.0212,0.007
Austria,0.6244,0.2784,0.1268,0.0484,0.0158,0.0056
Uzbekistan,0.6118,0.2604,0.1018,0.0338,0.015,0.0046
United States,0.6442,0.2858,0.1184,0.0466,0.0136,0.0036
Egypt,0.6888,0.298,0.1208,0.0416,0.0132,0.0036
Cote d'Ivoire,0.6892,0.2884,0.1144,0.0402,0.0118,0.0032
Panama,0.6658,0.2854,0.1106,0.0388,0.014,0.0032
Scotland,0.5782,0.221,0.0798,0.0268,0.0054,0.0018
Congo DR,0.505,0.1716,0.0594,0.0166,0.0044,0.0016
Sweden,0.444,0.1594,0.0514,0.0152,0.0046,0.001
Tunisia,0.4852,0.1516,0.0454,0.0126,0.003,0.0008
Iraq,0.4528,0.1594,0.055,0.0158,0.004,0.0006
Czech Republic,0.5896,0.201,0.0648,0.0162,0.0036,0.0006
New Zealand,0.4828,0.1408,0.0326,0.0072,0.001,0.0006
Haiti,0.372,0.0984,0.024,0.006,0.0008,0.0006
Jordan,0.463,0.151,0.0464,0.0124,0.0028,0.0004
Qatar,0.4686,0.1094,0.0238,0.004,0.001,0.0002
Saudi Arabia,0.4208,0.1138,0.0286,0.0074,0.0022,0.0002
South Africa,0.4654,0.1138,0.0274,0.0058,0.0008,0.0002
Bosnia-Herzegovina,0.5594,0.1584,0.0382,0.0102,0.0018,0.0002
Curacao,0.241,0.0382,0.0056,0.0004,0.0,0.0
Cabo Verde,0.3828,0.0798,0.0158,0.004,0.0004,0.0
Ghana,0.2662,0.0588,0.0102,0.0014,0.0,0.0
