team,p_R32,p_R16,p_QF,p_SF,p_F,p_Champion
Spain,0.9928,0.8624,0.6824,0.5146,0.3674,0.251
Argentina,0.9704,0.8012,0.6126,0.4482,0.307,0.1974
France,0.9348,0.7378,0.5276,0.3522,0.2286,0.13
England,0.961,0.691,0.4428,0.2566,0.1326,0.0688
Morocco,0.9314,0.6528,0.395,0.217,0.107,0.0476
Netherlands,0.921,0.6404,0.3778,0.203,0.102,0.0426
Germany,0.9462,0.6388,0.3738,0.2002,0.1008,0.0414
Japan,0.9062,0.5912,0.3482,0.1772,0.083,0.0368
Portugal,0.8746,0.5608,0.3178,0.1668,0.0748,0.0298
Turkiye,0.855,0.5396,0.2998,0.1424,0.0606,0.0264
Ecuador,0.8954,0.5022,0.2498,0.1144,0.048,0.0168
Mexico,0.9026,0.5142,0.2618,0.1142,0.042,0.0142
Brazil,0.8746,0.5158,0.2644,0.1164,0.047,0.014
Croatia,0.9008,0.527,0.2564,0.1158,0.0456,0.0138
Colombia,0.7794,0.4122,0.1922,0.0766,0.0276,0.0102
Belgium,0.8362,0.4174,0.1828,0.0668,0.0218,0.008
Norway,0.6896,0.3518,0.1652,0.0706,0.0242,0.0074
Senegal,0.6788,0.333,0.146,0.0588,0.0206,0.0062
Switzerland,0.88,0.4348,0.169,0.0542,0.0174,0.0048
Iran,0.8106,0.3868,0.1558,0.0562,0.0168,0.0046
Australia,0.7078,0.34,0.1346,0.0514,0.0156,0.0046
South Korea,0.8208,0.378,0.1434,0.0462,0.0132,0.004
Algeria,0.6752,0.3112,0.1242,0.045,0.0142,0.004
Canada,0.849,0.3788,0.1352,0.042,0.0116,0.0028
Uruguay,0.8074,0.347,0.1326,0.0478,0.0132,0.0024
Austria,0.6128,0.2444,0.0948,0.028,0.0088,0.002
Paraguay,0.5904,0.234,0.0776,0.0268,0.0062,0.0018
Uzbekistan,0.6134,0.253,0.0932,0.0308,0.008,0.0016
United States,0.5748,0.2272,0.0716,0.0208,0.0058,0.0014
Panama,0.7096,0.2758,0.0882,0.0274,0.005,0.0012
Egypt,0.6974,0.2556,0.0834,0.0248,0.0056,0.0006
Cote d'Ivoire,0.6692,0.2312,0.0724,0.0188,0.0034,0.0006
Scotland,0.5756,0.1854,0.0552,0.0112,0.003,0.0004
Iraq,0.3644,0.1168,0.0374,0.0106,0.0028,0.0004
Cabo Verde,0.3218,0.0472,0.009,0.001,0.0004,0.0002
Congo DR,0.4412,0.131,0.029,0.005,0.001,0.0002
Qatar,0.3966,0.0612,0.0076,0.0006,0.0,0.0
Haiti,0.2822,0.0514,0.0064,0.0008,0.0,0.0
Curacao,0.1652,0.02,0.0022,0.0002,0.0,0.0
Czech Republic,0.6064,0.1754,0.0436,0.0112,0.0036,0.0
South Africa,0.3634,0.0678,0.0114,0.0006,0.0,0.0
New Zealand,0.378,0.0706,0.0144,0.0024,0.0,0.0
Sweden,0.4246,0.1058,0.027,0.0052,0.001,0.0
Bosnia-Herzegovina,0.5406,0.1134,0.0208,0.0042,0.001,0.0
Tunisia,0.3868,0.0898,0.0224,0.0056,0.0004,0.0
Ghana,0.1302,0.014,0.0014,0.0002,0.0,0.0
Jordan,0.3684,0.0974,0.0262,0.0062,0.001,0.0
Saudi Arabia,0.3854,0.0654,0.0136,0.003,0.0004,0.0
