group,team,p_top2,p_best_third,p_advance
A,Mexico,0.6526,0.1538,0.8064
A,South Korea,0.617,0.1634,0.7804
A,South Africa,0.3832,0.183,0.5662
A,Czech Republic,0.3472,0.1854,0.5326
B,Switzerland,0.6702,0.1442,0.8144
B,Canada,0.6562,0.1512,0.8074
B,Qatar,0.3414,0.178,0.5194
B,Bosnia-Herzegovina,0.3322,0.1802,0.5124
C,Brazil,0.7152,0.136,0.8512
C,Morocco,0.6616,0.1568,0.8184
C,Scotland,0.3734,0.1926,0.566
C,Haiti,0.2498,0.1774,0.4272
D,Turkiye,0.6252,0.1574,0.7826
D,United States,0.5284,0.169,0.6974
D,Paraguay,0.4844,0.1806,0.665
D,Australia,0.362,0.1846,0.5466
E,Germany,0.747,0.137,0.884
E,Ecuador,0.6122,0.2082,0.8204
E,Cote d'Ivoire,0.489,0.2174,0.7064
E,Curacao,0.1518,0.122,0.2738
F,Netherlands,0.7042,0.1318,0.836
F,Japan,0.6028,0.1684,0.7712
F,Tunisia,0.345,0.188,0.533
F,Sweden,0.348,0.1724,0.5204
G,Belgium,0.6042,0.1576,0.7618
G,Egypt,0.5586,0.1752,0.7338
G,Iran,0.484,0.1848,0.6688
G,New Zealand,0.3532,0.181,0.5342
H,Spain,0.8576,0.0918,0.9494
H,Uruguay,0.6302,0.1594,0.7896
H,Saudi Arabia,0.2926,0.17,0.4626
H,Cabo Verde,0.2196,0.1586,0.3782
I,France,0.6946,0.1354,0.83
I,Senegal,0.5402,0.1862,0.7264
I,Norway,0.453,0.1814,0.6344
I,Iraq,0.3122,0.1658,0.478
J,Argentina,0.7806,0.1134,0.894
J,Algeria,0.531,0.1792,0.7102
J,Austria,0.3918,0.2086,0.6004
J,Jordan,0.2966,0.1638,0.4604
K,Colombia,0.6514,0.1602,0.8116
K,Portugal,0.6588,0.1484,0.8072
K,Uzbekistan,0.37,0.1928,0.5628
K,Congo DR,0.3198,0.1924,0.5122
L,England,0.7194,0.1376,0.857
L,Croatia,0.6038,0.1558,0.7596
L,Panama,0.3584,0.1896,0.548
L,Ghana,0.3184,0.1722,0.4906
