team,group,elo,elo_rank,wc_history,wr5,gd5,gs5,cs5,wr10,gd10,wr4y,gd4y,avg_group_opp_elo,group_advance_probability,champion_probability,champion_rank
Spain,H,2023.9898992085791,1,0.4368147993387411,0.8,2.2,2.6,0.8,0.85,2.3,0.85,2.3,1684.0584291718853,0.9494,0.1486,1
Argentina,J,1961.5928806248894,2,0.624282576699314,1.0,3.0,3.2,0.8,0.85,2.1,0.85,2.1,1744.332973443562,0.894,0.1256,2
France,I,1955.333177700757,3,0.6820540911687798,0.9,1.8,2.8,0.2,0.85,1.6,0.85,1.6,1780.6010746782074,0.83,0.0906,3
Turkiye,D,1837.7035153679592,13,0.7252828451170614,0.9,1.4,2.0,0.6,0.75,0.7,0.75,0.7,1782.6961679525523,0.7826,0.0654,4
England,L,1907.1826409168646,4,0.5053952203269012,0.7,1.6,2.0,0.6,0.75,1.7,0.75,1.7,1712.1766449701918,0.857,0.0652,5
Germany,E,1865.5029676966253,8,0.5856096131634138,1.0,2.2,3.0,0.6,0.7,1.2,0.7,1.2,1703.9453152217495,0.884,0.059,6
Netherlands,F,1864.0361128545737,9,0.6377357370012172,0.8,1.8,2.4,0.4,0.85,2.4,0.85,2.4,1738.921187288138,0.836,0.0584,7
Brazil,C,1844.8341063319092,11,0.6169484391879404,0.5,0.4,1.8,0.2,0.6,1.0,0.6,1.0,1739.901694043222,0.8512,0.0568,8
Morocco,C,1890.661402972087,5,0.42285099641642865,0.8,1.2,1.6,0.6,0.85,1.3,0.85,1.3,1724.6259284964963,0.8184,0.0448,9
Portugal,K,1876.1665709282722,6,0.4242234945232394,0.6,1.6,2.6,0.4,0.75,1.6,0.75,1.6,1763.8484167780855,0.8072,0.0374,10
Japan,F,1875.408872236488,7,0.32839559554198733,1.0,1.6,2.0,0.8,0.7,1.1,0.7,1.1,1735.130267494167,0.7712,0.0272,11
Colombia,K,1839.2529593784816,12,0.3952411311538006,0.5,0.2,1.4,0.4,0.65,1.1,0.65,1.1,1776.1529539613493,0.8116,0.0246,12
Mexico,A,1824.7044133197705,15,0.34938169718244055,0.8,1.2,1.4,0.8,0.55,0.1,0.55,0.1,1693.3470675144247,0.8064,0.0228,13
Belgium,G,1770.180722103639,24,0.44453495212712446,0.8,2.4,3.6,0.2,0.8,2.5,0.8,2.5,1711.2947556675665,0.7618,0.0164,14
Switzerland,B,1789.43323394366,21,0.3553355090397606,0.5,0.4,1.6,0.4,0.75,1.7,0.75,1.7,1646.0413722899318,0.8144,0.016,15
Croatia,L,1836.6189654148027,14,0.5847128475048171,0.8,1.0,2.4,0.2,0.85,2.1,0.85,2.1,1735.6978701375458,0.7596,0.016,15
Uruguay,H,1794.5875760203492,19,0.40172200408244846,0.5,-0.6,0.8,0.4,0.6,0.1,0.6,0.1,1760.5258702346289,0.7896,0.0132,17
Ecuador,E,1846.3043508635656,10,0.23883669405205157,0.6,0.4,1.0,0.4,0.6,0.3,0.6,0.3,1710.3448541661028,0.8204,0.0124,18
Senegal,I,1815.8765669704048,17,0.3645730700203015,0.8,0.6,1.4,0.6,0.85,1.9,0.85,1.9,1827.0866115883243,0.7264,0.01,19
Algeria,J,1772.9940904864961,23,0.2818642918065559,0.7,1.6,2.2,0.6,0.8,1.8,0.8,1.8,1807.1992368230265,0.7102,0.0098,20
Paraguay,D,1768.4333836848211,25,0.39490818711913783,0.4,-0.4,1.0,0.2,0.5,0.0,0.5,0.0,1805.7862118469318,0.665,0.0084,21
Canada,B,1760.4769738739515,28,0.20000000000000004,0.6,0.4,0.8,0.8,0.65,0.7,0.65,0.7,1655.6934589798348,0.8074,0.0076,22
Iran,G,1783.908723980399,22,0.19999999999999998,0.6,1.2,1.6,0.8,0.55,0.9,0.55,0.9,1706.71875504198,0.6688,0.0076,22
Norway,I,1819.0720949216916,16,0.3032335739268067,0.6,1.0,2.0,0.2,0.8,2.5,0.8,2.5,1826.0214356045624,0.6344,0.0072,24
United States,D,1765.9226862666674,26,0.3619281405954075,0.6,0.2,2.2,0.0,0.55,0.1,0.55,0.1,1806.6231109863163,0.6974,0.0068,25
South Korea,A,1793.099809549172,20,0.30873496402699135,0.6,0.0,1.0,0.6,0.65,0.3,0.65,0.3,1703.8819354379575,0.7804,0.0068,25
