team,p_R32,p_R16,p_QF,p_SF,p_F,p_Champion
Spain,0.9494,0.688,0.4696,0.3254,0.2242,0.1486
Argentina,0.894,0.64,0.437,0.3058,0.2058,0.1256
France,0.83,0.5604,0.3644,0.2362,0.1542,0.0906
Turkiye,0.7826,0.5174,0.3272,0.2074,0.1192,0.0654
England,0.857,0.5574,0.3442,0.2078,0.1242,0.0652
Germany,0.884,0.5598,0.3298,0.1896,0.1056,0.059
Netherlands,0.836,0.5368,0.3308,0.196,0.1116,0.0584
Brazil,0.8512,0.5414,0.3198,0.1896,0.1024,0.0568
Morocco,0.8184,0.491,0.2714,0.1576,0.0864,0.0448
Portugal,0.8072,0.4818,0.2738,0.1482,0.0752,0.0374
Japan,0.7712,0.4388,0.2454,0.1284,0.065,0.0272
Colombia,0.8116,0.4586,0.2374,0.1176,0.0548,0.0246
Mexico,0.8064,0.4642,0.248,0.1186,0.0548,0.0228
Belgium,0.7618,0.4038,0.2068,0.101,0.0422,0.0164
Croatia,0.7596,0.3974,0.2004,0.085,0.0374,0.016
Switzerland,0.8144,0.4366,0.2184,0.1018,0.0354,0.016
Uruguay,0.7896,0.3928,0.193,0.083,0.034,0.0132
Ecuador,0.8204,0.4076,0.1962,0.0868,0.0326,0.0124
Senegal,0.7264,0.3704,0.1788,0.0772,0.03,0.01
Algeria,0.7102,0.3574,0.1746,0.0704,0.0296,0.0098
Paraguay,0.665,0.329,0.153,0.0642,0.0238,0.0084
Iran,0.6688,0.3412,0.1578,0.0696,0.026,0.0076
Canada,0.8074,0.4032,0.179,0.071,0.0286,0.0076
Norway,0.6344,0.3168,0.144,0.0614,0.0234,0.0072
United States,0.6974,0.339,0.1474,0.0588,0.0212,0.0068
South Korea,0.7804,0.3696,0.1672,0.0656,0.0216,0.0068
Egypt,0.7338,0.3604,0.1624,0.067,0.0232,0.0064
Cote d'Ivoire,0.7064,0.315,0.1346,0.0538,0.0182,0.0062
Australia,0.5466,0.2422,0.0974,0.0348,0.0116,0.0048
Sweden,0.5204,0.2266,0.0906,0.035,0.0102,0.0034
Austria,0.6004,0.2454,0.099,0.034,0.0098,0.003
Tunisia,0.533,0.1978,0.063,0.019,0.005,0.0018
Uzbekistan,0.5628,0.199,0.0674,0.022,0.0078,0.0016
Scotland,0.566,0.211,0.0736,0.0228,0.0056,0.0014
Panama,0.548,0.213,0.0804,0.0278,0.0076,0.0012
Haiti,0.4272,0.1324,0.0432,0.0124,0.0038,0.0008
Czech Republic,0.5326,0.1796,0.0626,0.018,0.0036,0.0008
Jordan,0.4604,0.1602,0.0532,0.015,0.004,0.0008
South Africa,0.5662,0.1804,0.055,0.0162,0.0028,0.0008
Ghana,0.4906,0.1692,0.0574,0.018,0.0028,0.0006
Congo DR,0.5122,0.1738,0.0498,0.0126,0.0028,0.0006
Iraq,0.478,0.1668,0.0492,0.0114,0.0024,0.0006
Bosnia-Herzegovina,0.5124,0.163,0.0538,0.0118,0.0026,0.0004
Qatar,0.5194,0.1506,0.0396,0.0072,0.0014,0.0002
Cabo Verde,0.3782,0.0982,0.0256,0.0062,0.0008,0.0
Saudi Arabia,0.4626,0.1598,0.0492,0.0118,0.002,0.0
New Zealand,0.5342,0.1816,0.0616,0.0168,0.0022,0.0
Curacao,0.2738,0.0736,0.016,0.0024,0.0006,0.0
